INFO:root:Fri Jul 28 09:54:12 2023
INFO:root: объект - file_recorder.cpython-310.pyc, расширение файла - ['.cpython-310', '.pyc'], тип объекта - file, родитель - __pycache__
INFO:root: объект - 4dfc2fa5f3f76b21b0ede9877dcd66e16111b3, расширение файла - [], тип объекта - file, родитель - e7
INFO:root: объект - 2c7fde670452bded5cc050122fb7f3dcd2bc2a, расширение файла - [], тип объекта - file, родитель - e7
INFO:root: объект - e7, расширение файла - None, тип объекта - directory, родитель - e7
INFO:root: объект - f8dab0a9609a426f01afd86f25ad7e0fce5483, расширение файла - [], тип объекта - file, родитель - 9d
INFO:root: объект - 67bec020f52f691ceb53c5a47b87c8e33118b2, расширение файла - [], тип объекта - file, родитель - 9d
INFO:root: объект - 9d, расширение файла - None, тип объекта - directory, родитель - 9d
INFO:root: объект - ac0cefd841c02de873adc1e9a9ffdd241a666c, расширение файла - [], тип объекта - file, родитель - 4d
INFO:root: объект - 4d, расширение файла - None, тип объекта - directory, родитель - 4d
INFO:root: объект - cdef000a19261d892e671c72bb6defd639beaa, расширение файла - [], тип объекта - file, родитель - 9e
INFO:root: объект - 9e, расширение файла - None, тип объекта - directory, родитель - 9e
INFO:root: объект - 925075b75f02d9ad62c54c5d7d621ec3db83ad, расширение файла - [], тип объекта - file, родитель - a6
INFO:root: объект - d08c90ccde554290327b636017594109b1f9fa, расширение файла - [], тип объекта - file, родитель - a6
INFO:root: объект - a6, расширение файла - None, тип объекта - directory, родитель - a6
INFO:root: объект - 5f727b428cb022f8f3ab6d11872dd8f3f09380, расширение файла - [], тип объекта - file, родитель - fb
INFO:root: объект - fb, расширение файла - None, тип объекта - directory, родитель - fb
INFO:root: объект - 1ef715f6a662f832797841674fcfcbeab08d60, расширение файла - [], тип объекта - file, родитель - 7f
INFO:root: объект - 7f, расширение файла - None, тип объекта - directory, родитель - 7f
INFO:root: объект - f755e3580ce2f1552c62e05b4ad2c136876e10, расширение файла - [], тип объекта - file, родитель - a5
INFO:root: объект - a5, расширение файла - None, тип объекта - directory, родитель - a5
INFO:root: объект - 4cf0d6a8b15d0f35dae3b2df91eaa7b25db612, расширение файла - [], тип объекта - file, родитель - 78
INFO:root: объект - 78, расширение файла - None, тип объекта - directory, родитель - 78
INFO:root: объект - 8c6c1c40487aa7e8c202e87c9086af1c0e12c3, расширение файла - [], тип объекта - file, родитель - eb
INFO:root: объект - eb, расширение файла - None, тип объекта - directory, родитель - eb
INFO:root: объект - 9c00b48bd39383029cfe3c65750d39169308e9, расширение файла - [], тип объекта - file, родитель - 0e
INFO:root: объект - 0e, расширение файла - None, тип объекта - directory, родитель - 0e
INFO:root: объект - 7e0829a6b0ce2ab42618f033ac98a8d76d6aa5, расширение файла - [], тип объекта - file, родитель - e8
INFO:root: объект - e8, расширение файла - None, тип объекта - directory, родитель - e8
INFO:root: объект - 8283459ee7c97382371351b638c2d86c6869a4, расширение файла - [], тип объекта - file, родитель - 67
INFO:root: объект - 67, расширение файла - None, тип объекта - directory, родитель - 67
INFO:root: объект - d6dc460e7219db137a9cb7f8d4e6acf7f23958, расширение файла - [], тип объекта - file, родитель - 3e
INFO:root: объект - 3e, расширение файла - None, тип объекта - directory, родитель - 3e
INFO:root: объект - 3c320f9f78910553d5ac172331474dcabfcacf, расширение файла - [], тип объекта - file, родитель - 2c
INFO:root: объект - 47ee89d14775a496f771709a343a8265b59cdb, расширение файла - [], тип объекта - file, родитель - 2c
INFO:root: объект - 2c, расширение файла - None, тип объекта - directory, родитель - 2c
INFO:root: объект - info, расширение файла - None, тип объекта - directory, родитель - info
INFO:root: объект - 33ab57d8c1acaf0b5950d2ea83ac30a06e67d0, расширение файла - [], тип объекта - file, родитель - 6f
INFO:root: объект - 6f, расширение файла - None, тип объекта - directory, родитель - 6f
INFO:root: объект - e0d72292d382ec7380386223b601226ac6a1ee, расширение файла - [], тип объекта - file, родитель - 42
INFO:root: объект - d804251f1ae0b2cc9fc4a1457cdeb546b8c81e, расширение файла - [], тип объекта - file, родитель - 42
INFO:root: объект - 42, расширение файла - None, тип объекта - directory, родитель - 42
INFO:root: объект - ae3fe4e0ef67f5b505fea2bec8fd519a31b645, расширение файла - [], тип объекта - file, родитель - 07
INFO:root: объект - 07, расширение файла - None, тип объекта - directory, родитель - 07
INFO:root: объект - 62c1b1e51dd7bcc08abd5e26a3853ee7ceaeed, расширение файла - [], тип объекта - file, родитель - c5
INFO:root: объект - 0d9dd81b1b1515753c7b5c10b3fd3fa3050083, расширение файла - [], тип объекта - file, родитель - c5
INFO:root: объект - c5, расширение файла - None, тип объекта - directory, родитель - c5
INFO:root: объект - 40615a5aebf2cee1e3696e33186c9437a5a72c, расширение файла - [], тип объекта - file, родитель - df
INFO:root: объект - 36b25898256fa2ca64af07920ed057e30bd772, расширение файла - [], тип объекта - file, родитель - df
INFO:root: объект - df, расширение файла - None, тип объекта - directory, родитель - df
INFO:root: объект - 6e3e3ac97893ba06d0d38383f33987aa03ccff, расширение файла - [], тип объекта - file, родитель - e9
INFO:root: объект - e9, расширение файла - None, тип объекта - directory, родитель - e9
INFO:root: объект - 216c5811bde2596cb66b35acab20f8fed0e3e9, расширение файла - [], тип объекта - file, родитель - c1
INFO:root: объект - c1, расширение файла - None, тип объекта - directory, родитель - c1
INFO:root: объект - 01f57feaaaf5e670d3861f10f9557f051cecd5, расширение файла - [], тип объекта - file, родитель - cd
INFO:root: объект - 81996cf0fcb91049a701320a59fbd33cdedd2b, расширение файла - [], тип объекта - file, родитель - cd
INFO:root: объект - cd, расширение файла - None, тип объекта - directory, родитель - cd
INFO:root: объект - 3c3b1b9f50c40341d3d1180aac4186c042e4c5, расширение файла - [], тип объекта - file, родитель - 0c
INFO:root: объект - 0c, расширение файла - None, тип объекта - directory, родитель - 0c
INFO:root: объект - 43e461a70a72bcd8c06079469e4c8ba249cd54, расширение файла - [], тип объекта - file, родитель - 95
INFO:root: объект - fe348c6a80f0532a5f2a49463e2bc3060141ce, расширение файла - [], тип объекта - file, родитель - 95
INFO:root: объект - 95, расширение файла - None, тип объекта - directory, родитель - 95
INFO:root: объект - 60124dd1a5b411845882bd8790263e26144438, расширение файла - [], тип объекта - file, родитель - 13
INFO:root: объект - 13, расширение файла - None, тип объекта - directory, родитель - 13
INFO:root: объект - 1b2af84439d014f02c3671cb328313d1b3592e, расширение файла - [], тип объекта - file, родитель - 04
INFO:root: объект - 04, расширение файла - None, тип объекта - directory, родитель - 04
INFO:root: объект - 965c2e5a407b18e645ddd6f627ca6015bad799, расширение файла - [], тип объекта - file, родитель - 32
INFO:root: объект - 32, расширение файла - None, тип объекта - directory, родитель - 32
INFO:root: объект - 1c952041ee547770e8bfa44c17894312a750de, расширение файла - [], тип объекта - file, родитель - a7
INFO:root: объект - a7, расширение файла - None, тип объекта - directory, родитель - a7
INFO:root: объект - 76368848110b865ad27978664161d97514b02a, расширение файла - [], тип объекта - file, родитель - c9
INFO:root: объект - c9, расширение файла - None, тип объекта - directory, родитель - c9
INFO:root: объект - fe1520720adda984b1c98445b215257f759381, расширение файла - [], тип объекта - file, родитель - 60
INFO:root: объект - 60, расширение файла - None, тип объекта - directory, родитель - 60
INFO:root: объект - 011ea65b23af029db2c38655af7f050b24cc16, расширение файла - [], тип объекта - file, родитель - 1d
INFO:root: объект - 1d, расширение файла - None, тип объекта - directory, родитель - 1d
INFO:root: объект - c627542c03cbb1e1ade26e263ec6d2244c7d4d, расширение файла - [], тип объекта - file, родитель - d0
INFO:root: объект - d0, расширение файла - None, тип объекта - directory, родитель - d0
INFO:root: объект - bf37db8158bd115b8299ba4acb02a94c6dd96d, расширение файла - [], тип объекта - file, родитель - ee
INFO:root: объект - ee, расширение файла - None, тип объекта - directory, родитель - ee
INFO:root: объект - 500c2adedc2e9b857113a0a792e452e989f134, расширение файла - [], тип объекта - file, родитель - e2
INFO:root: объект - e2, расширение файла - None, тип объекта - directory, родитель - e2
INFO:root: объект - aa3bc1d2e4154163544208733291c799d4d9f0, расширение файла - [], тип объекта - file, родитель - e5
INFO:root: объект - bdd7517fc0f129bf66384e156da9c389791b55, расширение файла - [], тип объекта - file, родитель - e5
INFO:root: объект - e5, расширение файла - None, тип объекта - directory, родитель - e5
INFO:root: объект - 478374e3febc3924256a71aea70e9aed13c2bc, расширение файла - [], тип объекта - file, родитель - 01
INFO:root: объект - 01, расширение файла - None, тип объекта - directory, родитель - 01
INFO:root: объект - 65b9592b2aa851c6e50a8317c5db1f7e0932d1, расширение файла - [], тип объекта - file, родитель - 80
